id,name,nationality,year,team,source,tournament,pac,sho,pas,dri,def,phy,titleBonus,awardBonus,position,naturalPosition
messi,Lionel Messi,Argentina,2006,FC Barcelona,CLUB,,91,82,88,94,35,60,3,2,FW,RW
messi,Lionel Messi,Argentina,2022,Argentina,NATIONAL,World Cup,85,96,95,97,40,65,5,5,FW,RW
cr7,Cristiano Ronaldo,Portugal,2011,Real Madrid,CLUB,,93,94,86,91,35,82,4,4,FW,LW
cr7,Cristiano Ronaldo,Portugal,2017,Real Madrid,CLUB,,88,96,85,88,40,90,5,5,FW,ST
ronaldo,Ronaldo Nazario,Brazil,2002,Brazil,NATIONAL,World Cup,95,97,85,95,30,82,5,5,FW,ST
ronaldo,Ronaldo Nazario,Brazil,1998,Inter Milan,CLUB,,96,94,82,94,30,78,2,4,FW,ST
ronaldinho,Ronaldinho,Brazil,2006,FC Barcelona,CLUB,,93,90,90,97,30,70,4,4,FW,LW
ronaldinho,Ronaldinho,Brazil,2002,Brazil,NATIONAL,World Cup,92,88,88,95,35,72,5,3,FW,LW
xavi,Xavi,Spain,2006,FC Barcelona,CLUB,,75,70,97,94,65,65,3,2,MF,CM
xavi,Xavi,Spain,2010,Spain,NATIONAL,World Cup,74,70,98,95,67,65,5,4,MF,CM
iniesta,Andres Iniesta,Spain,2009,FC Barcelona,CLUB,,82,75,95,96,55,65,4,3,MF,CM
iniesta,Andres Iniesta,Spain,2010,Spain,NATIONAL,World Cup,84,78,96,97,55,67,5,4,MF,CM
neuer,Manuel Neuer,Germany,2014,Germany,NATIONAL,World Cup,86,60,90,70,95,88,5,4,GK,GK
neuer,Manuel Neuer,Germany,2013,Bayern Munich,CLUB,,86,55,88,65,96,90,5,3,GK,GK
lahm,Philipp Lahm,Germany,2014,Germany,NATIONAL,World Cup,88,60,90,85,92,70,5,3,DF,RB
lahm,Philipp Lahm,Germany,2013,Bayern Munich,CLUB,,88,55,91,86,90,72,5,3,DF,RB
kroos,Toni Kroos,Germany,2014,Germany,NATIONAL,World Cup,70,75,96,88,55,70,5,3,MF,CM
kroos,Toni Kroos,Germany,2017,Real Madrid,CLUB,,68,78,97,88,58,72,5,3,MF,CM
modric,Luka Modric,Croatia,2017,Real Madrid,CLUB,,85,75,95,95,70,70,5,4,MF,CM
modric,Luka Modric,Croatia,2018,Croatia,NATIONAL,World Cup,86,78,94,94,68,72,5,5,MF,CM
ramos,Sergio Ramos,Spain,2017,Real Madrid,CLUB,,78,70,82,75,94,92,5,3,DF,CB
ramos,Sergio Ramos,Spain,2010,Spain,NATIONAL,World Cup,79,65,80,70,93,88,5,2,DF,CB
puyol,Carles Puyol,Spain,2006,FC Barcelona,CLUB,,70,45,75,55,96,91,3,2,DF,CB
puyol,Carles Puyol,Spain,2010,Spain,NATIONAL,World Cup,72,45,77,55,96,90,5,2,DF,CB
vandijk,Virgil van Dijk,Netherlands,2019,Liverpool,CLUB,,78,55,85,60,96,95,4,3,DF,CB
lewandowski,Robert Lewandowski,Poland,2020,Bayern Munich,CLUB,,78,97,82,90,40,90,5,5,FW,ST
lewandowski,Robert Lewandowski,Poland,2022,Barcelona,CLUB,,80,96,84,88,42,88,3,3,FW,ST
mbappe,Kylian Mbappe,France,2018,France,NATIONAL,World Cup,97,85,80,94,35,80,5,3,FW,RW
